name;size;price;ingredients
ntaudevin3v;S;$9.63;Bagelers
cmilburn3w;L;$4.43;Cheese - Ermite Bleu
hkinleyside3x;2XL;$5.15;Puree - Blackcurrant
dspykings3y;2XL;$7.07;Oil - Olive
tdunthorne3z;S;$5.45;Pepper - Orange
dlowthorpe40;XL;$3.10;Juice - Orange, Concentrate
tmedina41;XL;$4.79;Juice - Cranberry, 341 Ml
cdambrosi42;XL;$8.34;Appetizer - Smoked Salmon / Dill
bkunert43;XS;$2.79;Leeks - Baby, White
bcisneros44;L;$5.08;Ostrich - Prime Cut
tkinzett45;XS;$4.27;Molasses - Fancy
adurman46;XL;$10.00;Muffin Mix - Banana Nut
twither47;XL;$0.18;Pastry - Cheese Baked Scones
dtilt48;3XL;$9.39;Iced Tea Concentrate
hheskin49;XS;$1.25;Cake - French Pear Tart
gwilmott4a;XL;$7.13;Flour - Chickpea
ddericut4b;M;$5.73;Chocolate - White
atarplee4c;XL;$4.89;Scallops 60/80 Iqf
rberre4d;2XL;$6.63;Pork - Loin, Boneless
pfirman4e;M;$1.20;Sugar - Individual Portions
rduiguid4f;3XL;$2.71;Octopus
ashewsmith4g;XS;$1.12;Southern Comfort
dklewer4h;L;$0.29;Napkin White - Starched
ghyder4i;XL;$5.20;Remy Red
ebrugh4j;M;$3.40;Sprouts - Peppercress
cvanyarkin4k;L;$0.40;Trout - Rainbow, Frozen
aduckhouse4l;XL;$8.08;Hot Chocolate - Individual
tfontanet4m;XL;$6.37;Sauce - Demi Glace
mcallen4n;3XL;$1.74;Mix - Cappucino Cocktail
yheamus4o;XS;$4.21;Pie Shells 10
mgwinnett4p;3XL;$0.58;Oil - Safflower
gsussex4q;XS;$2.46;Puree - Kiwi
cwinckworth4r;L;$4.03;Kale - Red
cscutter4s;XS;$6.82;Pur Source
cgillio4t;XL;$7.51;Compound - Strawberry
ddighton4u;3XL;$2.45;Cheese - Parmigiano Reggiano
skembrey4v;3XL;$1.27;Wine - White, Mosel Gold
severard4w;S;$0.69;Tomatoes - Yellow Hot House
hummfrey4x;3XL;$0.57;Sage - Ground
eparkyn4y;XL;$7.97;Crackers Cheez It
tapedaile4z;XS;$6.28;Gooseberry
fortiger50;M;$4.87;Pepper - White, Ground
fdyzart51;L;$6.62;Rice - Aborio
mchoulerton52;XL;$0.81;Bread - Italian Sesame Poly
geastgate53;XS;$7.63;Clams - Bay
msparshett54;M;$9.46;Creme De Menth - White
adelaeglise55;XL;$2.10;Flour - Teff
breven56;3XL;$3.92;Pail - 4l White, With Handle
asandeman57;M;$5.44;Ecolab - Power Fusion
aducker58;XS;$8.78;Lettuce - Iceberg
dcropton59;3XL;$7.17;Vodka - Hot, Lnferno
aminshall5a;S;$0.26;Cream Of Tartar
ieasseby5b;XS;$3.33;V8 - Tropical Blend
rcordel5c;S;$1.44;Crab - Meat Combo
atwycross5d;XL;$3.30;Muffin - Mix - Creme Brule 15l
amcglade5e;L;$0.99;Juice - Cranberry, 341 Ml
fjakoub5f;L;$0.71;Ginsing - Fresh
jzuppa5g;M;$8.97;Peas - Pigeon, Dry
cgledstane5h;S;$3.89;Juice - Ocean Spray Kiwi
cvallens5i;M;$1.73;Beef - Ground Medium
pclausen5j;L;$6.76;Egg Patty Fried
kfacher5k;3XL;$2.62;Higashimaru Usukuchi Soy
zledford5l;3XL;$1.68;Bread - French Stick
fpischoff5m;3XL;$7.51;Chips - Potato Jalapeno
zfoulds5n;S;$7.77;Latex Rubber Gloves Size 9
cmeller5o;S;$9.69;Wine - Guy Sage Touraine
dbickerstaffe5p;L;$4.56;Tart - Pecan Butter Squares
faddlestone5q;XS;$2.97;Soup V8 Roasted Red Pepper
growlinson5r;M;$4.96;Bar Special K
jcanfield5s;L;$4.61;Pastry - Baked Scones - Mini
vberick5t;3XL;$2.91;Chocolate Bar - Coffee Crisp
gborgbartolo5u;L;$6.98;Plasticspoonblack
mmcglone5v;3XL;$7.84;Cherries - Bing, Canned
zfrost5w;L;$0.49;Lemonade - Natural, 591 Ml
aludy5x;2XL;$7.17;Flax Seed
egue5y;2XL;$0.73;Pickle - Dill
abaus5z;XL;$6.67;Bagelers
limpleton60;3XL;$7.40;Oil - Olive
ymuge61;2XL;$9.70;Hickory Smoke, Liquid
bedmonds62;L;$5.15;Ecolab Crystal Fusion
kbardnam63;S;$2.04;Fish - Artic Char, Cold Smoked
mgeorgescu64;3XL;$1.56;Butter - Salted, Micro
pdrissell65;2XL;$6.04;Flour - So Mix Cake White
dinnerstone66;L;$3.63;Potatoes - Peeled
askippon67;L;$3.34;Pastry - Plain Baked Croissant
ljackalin68;3XL;$8.87;Nut - Chestnuts, Whole
vlettley69;3XL;$4.32;Soupcontfoam16oz 116con
istraine6a;L;$3.16;Rabbit - Whole
btottie6b;L;$4.24;Turkey - Oven Roast Breast
slink6c;XL;$4.48;Coffee Decaf Colombian
akibbee6d;3XL;$6.39;Dried Peach
dsherbrooke6e;2XL;$1.94;Rum - Dark, Bacardi, Black
emegroff6f;XS;$6.02;Pomegranates
kwalder6g;S;$3.69;Lettuce - Lolla Rosa
sdesesquelle6h;3XL;$4.79;Eel Fresh
csamwayes6i;2XL;$9.64;Cake - Night And Day Choclate
vboays6j;XL;$1.52;Clams - Canned
asmillie6k;2XL;$3.30;Apples - Sliced / Wedge
scovell6l;XL;$1.72;Juice - V8, Tomato
awhate6m;S;$5.69;Split Peas - Yellow, Dry
mhandasyde6n;XS;$6.79;Maple Syrup
wmolson6o;L;$5.13;Dragon Fruit
rarmitage6p;2XL;$7.44;Bread - Sour Batard
tgoldstraw6q;M;$6.65;Chips - Doritos
hwallentin6r;S;$7.73;Galliano
isnape6s;XS;$6.48;Dikon
abutchard6t;2XL;$3.11;Lamb - Rack
iharrington6u;S;$0.91;Mcguinness - Blue Curacao
omosby6v;M;$0.23;Water - Spring Water, 355 Ml
nitzhayek6w;S;$6.90;Mustard - Dijon
lminette6x;2XL;$0.72;Flavouring - Orange
mcholomin6y;S;$9.42;Wine - Two Oceans Sauvignon
dstutter6z;XL;$9.47;Wine - Spumante Bambino White
dpichmann70;L;$9.34;Soup - Tomato Mush. Florentine
hpollard71;XS;$1.09;Soup - Campbells Beef Noodle
dmcgaughay72;3XL;$4.80;Oil - Food, Lacquer Spray
fminshall73;2XL;$0.17;Chicken Breast Halal
mpargetter74;3XL;$3.18;The Pop Shoppe - Black Cherry
bdockwra75;M;$1.88;Nacho Chips
mryrie76;3XL;$6.85;Fish - Halibut, Cold Smoked
cradmer77;XL;$7.10;Beef - Rib Roast, Cap On
hholdren78;XS;$1.66;Pernod
rlenham79;M;$5.76;Tea - Orange Pekoe
dpurcell7a;M;$6.86;Garbage Bags - Black
ihaward7b;L;$5.85;Bread Cranberry Foccacia
lchaffyn7c;S;$2.72;Wild Boar - Tenderloin
alabuschagne7d;3XL;$9.76;Octopus
mneesam7e;2XL;$7.32;C - Plus, Orange
alamberto7f;2XL;$3.10;Pie Box - Cello Window 2.5
lshermar7g;XS;$2.51;Beef - Montreal Smoked Brisket
gcoverley7h;S;$2.06;Cheese - Bakers Cream Cheese
mworwood7i;XL;$1.92;Oil - Food, Lacquer Spray
emaltman7j;2XL;$9.92;Bar Energy Chocchip
byetton7k;2XL;$1.21;Wine - Balbach Riverside
iwyatt7l;3XL;$9.50;Ginger - Pickled
rellson7m;2XL;$5.58;Chocolate - Semi Sweet
uwoehler7n;XS;$6.88;Pheasants - Whole
slembrick7o;L;$7.26;Wine - Mondavi Coastal Private
rspir7p;XL;$5.55;Soy Protein
gmathiot7q;2XL;$5.85;Turkey - Breast, Boneless Sk On
ebeneyto7r;3XL;$0.29;Eggroll
bjanek7s;XS;$9.23;Appetizer - Southwestern
mnend7t;3XL;$8.24;Bagelers - Cinn / Brown
rkelleway7u;M;$9.30;Quail - Whole, Boneless
dgradon7v;XS;$6.60;Bread - Roll, Whole Wheat
groskam7w;2XL;$8.11;Tuna - Canned, Flaked, Light
ndukes7x;M;$8.20;Nut - Pecan, Pieces
driby7y;3XL;$5.26;Pork - Back Ribs
froyste7z;S;$7.13;Garbage Bag - Clear
amusker80;S;$5.02;Extract - Lemon
mwhitehouse81;XL;$2.15;Turkey - Ground. Lean
kmouse82;XL;$2.69;Lettuce - Spring Mix
wirce83;L;$1.63;Veal - Inside Round / Top, Lean
vwickendon84;3XL;$0.60;Beef Tenderloin Aaa
fwray85;2XL;$2.86;Anchovy In Oil
mrealff86;2XL;$7.31;Pastry - Banana Muffin - Mini
ceteen87;XS;$5.68;Food Colouring - Pink
tplaistowe88;3XL;$10.00;Wine - Sicilia Igt Nero Avola
idebow89;M;$1.74;Appetizer - Lobster Phyllo Roll
gbrumwell8a;2XL;$7.85;Butter Balls Salted
rvann8b;L;$1.89;Wine - Cotes Du Rhone
jchancelier8c;XL;$1.92;Pineapple - Golden
ftroctor8d;2XL;$6.95;Pepper - Paprika, Spanish
hstandley8e;3XL;$0.06;White Baguette
mrowsel8f;2XL;$5.62;Jam - Apricot
econew8g;XS;$8.03;Smoked Tongue
avassall8h;XL;$0.04;Soup - Campbells Chili Veg
ohawkey8i;L;$3.24;Tomatillo
rcampes8j;3XL;$9.87;Salt And Pepper Mix - White
jpriddle8k;3XL;$2.32;Wine - Fontanafredda Barolo
lpantlin8l;3XL;$2.81;Bread - Petit Baguette
oslarke8m;M;$7.02;Chickensplit Half
tcoffey8n;S;$1.28;Uniform Linen Charge
emacane8o;3XL;$6.91;Rosemary - Primerba, Paste
mseyffert8p;XS;$1.82;Shrimp - Black Tiger 6 - 8
tisaaksohn8q;3XL;$8.11;Oil - Margarine
agoold8r;3XL;$8.99;Chips - Miss Vickies
mwilkenson8s;XL;$0.49;Canada Dry
asallter8t;2XL;$1.43;Swordfish Loin Portions
trafferty8u;S;$7.59;Muffin Mix - Oatmeal
bbrockie8v;S;$8.22;Jerusalem Artichoke
vkelle8w;XS;$6.50;Orange - Tangerine
kbrinded8x;S;$3.58;Pork - Sausage Casing
kcornew8y;2XL;$5.56;Bagel - Everything Presliced
cbruckenthal8z;XS;$1.73;Bacardi Limon
jsyres90;2XL;$8.00;Pickle - Dill
gilyasov91;XS;$1.34;Beef - Tenderloin Tails
randino92;2XL;$7.94;Island Oasis - Banana Daiquiri
jclemanceau93;2XL;$9.95;Wasabi Powder
ttoothill94;XS;$2.75;Extract Vanilla Pure
iolivari95;2XL;$5.46;Bread - Malt
jspraberry96;3XL;$4.84;Mackerel Whole Fresh
cogers97;3XL;$7.40;Pork - Suckling Pig
bprine98;2XL;$2.11;Dill - Primerba, Paste
mbowling99;XS;$6.52;Mushroom - Enoki, Fresh
tdusting9a;L;$5.83;Cake - Cake Sheet Macaroon
hcarloni9b;2XL;$1.96;Sage Ground Wiberg
jsherel9c;XS;$9.49;Fruit Salad Deluxe
ggatch9d;L;$7.58;Tuna - Loin
hgrimshaw9e;M;$5.35;Sauce - Thousand Island
gdober9f;2XL;$8.97;White Fish - Filets
eosgorby9g;L;$6.53;Towel - Roll White
mdeware9h;2XL;$3.07;Coconut - Shredded, Unsweet
kmelland9i;2XL;$2.88;Cherries - Fresh
edevaar9j;M;$1.34;Quail - Whole, Bone - In
wpennycock9k;3XL;$4.68;Buffalo - Short Rib Fresh
hsteadman9l;2XL;$6.64;Beef - Tenderloin
gcaulcutt9m;XS;$7.78;Table Cloth 62x120 Colour
apover9n;S;$8.50;Sambuca - Opal Nera
rcode9o;XL;$6.42;Oregano - Fresh
kdearden9p;XS;$9.25;Puree - Mango
mgatty9q;XL;$5.81;Langers - Cranberry Cocktail
ipowter9r;XL;$2.39;Huck White Towels
hcombe9s;M;$8.43;Lady Fingers
tuden9t;2XL;$3.04;Lemonade - Natural, 591 Ml
vboken9u;S;$2.76;Soup - Campbells Beef Stew
mnorthfield9v;L;$3.99;Pork Salted Bellies
rbutt9w;3XL;$0.30;Rice - Long Grain
sheminsley9x;XS;$5.39;Onions - Dried, Chopped
shundell9y;XS;$1.42;Dill - Primerba, Paste
rbanville9z;XS;$7.69;Crab - Soft Shell
ledwardesa0;2XL;$7.07;Coconut - Shredded, Sweet
frutleya1;S;$4.88;Avocado
kfausseta2;2XL;$8.16;Chicken - Whole Roasting
cbasshama3;M;$2.89;Jam - Raspberry,jar
lthirsta4;S;$1.47;Red Pepper Paste
cgiordanoa5;S;$3.06;Quiche Assorted
mmcconnala6;2XL;$6.62;Pork - European Side Bacon
jmackalla7;3XL;$2.97;Garam Masala Powder
swealda8;3XL;$3.82;Island Oasis - Banana Daiquiri
cgerardeauxa9;S;$6.98;Tea - Herbal Orange Spice
tjouningaa;3XL;$9.08;Flower - Dish Garden
sfeeheryab;M;$6.93;Pastry - Carrot Muffin - Mini
conionac;XL;$6.02;Pasta - Penne Primavera, Single
doquinad;XL;$1.06;Nantucket - Pomegranate Pear
lmcgreyae;M;$7.94;Cheese - Cream Cheese
lbearsmoreaf;S;$8.55;Red Snapper - Fresh, Whole
oacresag;3XL;$8.84;True - Vue Containers
rbrightyah;XS;$6.23;Cheese - Cheddar With Claret
asustinsai;3XL;$5.99;Mangostein
kcholominaj;XS;$7.67;Macaroons - Homestyle Two Bit
jchippsak;L;$2.03;Sauce - Sesame Thai Dressing
moakesal;3XL;$4.78;Chicken - Leg, Boneless
frosoneam;L;$5.50;Tea - Mint
smaplesdenan;M;$1.92;Ham - Proscuitto
jthalmannao;XS;$0.70;Beets - Mini Golden
lhudelap;XS;$5.38;Plate Foam Laminated 9in Blk
ktwelvetreesaq;L;$6.36;Flower - Potmums
pgrimsterar;L;$1.70;Salmon Steak - Cohoe 8 Oz
ebloomfieldas;L;$4.65;Tray - 12in Rnd Blk
wspieghtat;M;$4.83;Hersey Shakes
wtomaszewiczau;M;$8.74;Cheese - La Sauvagine
cczaplaav;S;$5.28;Wine - Delicato Merlot
nzupaaw;3XL;$2.91;Crush - Cream Soda
dbeadelax;S;$7.12;Tea - Mint
jmckeownay;S;$0.28;Wine - Rhine Riesling Wolf Blass
jgogayaz;3XL;$8.81;Stock - Beef, White
tboswellb0;XS;$3.27;Raisin - Golden
arenehanb1;XL;$5.19;C - Plus, Orange
vsuttillb2;XL;$3.78;Smirnoff Green Apple Twist
dbalconb3;S;$2.99;Flavouring Vanilla Artificial
aattrydeb4;L;$6.29;Wine - Niagara Peninsula Vqa
mswadenb5;XL;$3.61;Coffee - Flavoured
jglandonb6;M;$3.34;Foil Wrap
atrimmillb7;XS;$7.88;Brocolinni - Gaylan, Chinese
sfearnsidesb8;M;$4.80;Soup - Campbells, Lentil
bstempeb9;L;$3.01;Wine - Niagara,vqa Reisling
bneadsba;M;$7.35;Vermacelli - Sprinkles, Assorted
gannesleybb;S;$4.24;Fudge - Cream Fudge
kpinkstonebc;M;$5.72;Beets - Candy Cane, Organic
kcraggbd;XS;$1.84;Cheese - La Sauvagine
avaneybe;XL;$4.00;Appetiser - Bought
cdegouybf;M;$1.53;Scallops - U - 10
fstanneringbg;XL;$7.61;Cherries - Bing, Canned
cpowtonbh;2XL;$6.71;Meldea Green Tea Liquor
rtromanbi;S;$3.99;Pepper - Black, Crushed
frousbj;L;$2.95;Apples - Spartan
edasbk;XS;$6.49;Tomato - Peeled Italian Canned
tsjostrombl;2XL;$6.46;Rum - Cream, Amarula
jbatchellorbm;2XL;$9.77;Wine - Niagara Peninsula Vqa
ajarredbn;XS;$9.13;Hersey Shakes
lhaggathbo;M;$4.82;Sprouts - Baby Pea Tendrils
ssargantbp;2XL;$3.79;Kumquat
mbrasseurbq;3XL;$7.00;Fond - Neutral
cbaracloughbr;S;$4.91;Table Cloth 54x72 White
cmuffordbs;3XL;$7.59;Pomegranates
ecollissbt;XS;$6.15;Milk - 2% 250 Ml
klystonbu;M;$7.32;Chicken - Base
bchurchwardbv;3XL;$1.94;Lettuce - Arugula
nkeransbw;S;$4.99;Wine - Red, Mosaic Zweigelt
sambrogiobx;L;$3.12;Wine - Rioja Campo Viejo
ygisbournby;3XL;$5.55;Sauce - White, Mix
jhuegettbz;XL;$5.02;Soup - Boston Clam Chowder
vraisonc0;L;$0.97;Sauce - Chili
wfeakec1;L;$2.80;Vodka - Moskovskaya
rtitcombc2;M;$6.00;Bread Base - Toscano
msygrovesc3;M;$0.83;Cheese - St. Paulin
jstewartsonc4;XS;$2.91;Muffin Hinge 117n
lasselc5;L;$1.88;Wild Boar - Tenderloin
rwoolamc6;L;$8.90;Mushroom - King Eryingii
aoslerc7;M;$3.50;Plastic Wrap
dkeenlysidec8;S;$1.41;Wine - White Cab Sauv.on
praikerc9;M;$4.31;Sprouts - Onion
hgenteryca;L;$7.86;Cheese - Havarti, Salsa
ifitzpayncb;M;$9.61;Beef - Tenderloin Tails
aweskercc;S;$9.89;Wine - Riesling Dr. Pauly
lluttycd;M;$3.25;Wine - Red, Pelee Island Merlot
ffrissellce;XL;$1.17;Cheese - Stilton
sfierrocf;S;$3.10;Chivas Regal - 12 Year Old
bblaneycg;3XL;$9.74;Wine - Sauvignon Blanc
lcheyneych;M;$3.37;Bagel - Sesame Seed Presliced
aaspinwallci;XS;$8.27;Broom - Push
gbullioncj;2XL;$0.51;Ham Black Forest
amollenck;2XL;$9.06;Muffin - Bran Ind Wrpd
ndoegcl;XL;$4.64;Ocean Spray - Kiwi Strawberry
lfarnworthcm;M;$4.30;Brocolinni - Gaylan, Chinese
tdietzlercn;2XL;$3.61;Wine - Red, Antinori Santa
fstanlikeco;2XL;$5.88;Vinegar - White
jcatherickcp;XL;$5.35;Butter - Unsalted
tzimmercq;XL;$6.80;Crush - Cream Soda
kcalkincr;2XL;$1.64;Wine - Penfolds Koonuga Hill
fsethcs;M;$8.33;Peas Snow
wolorenshawct;XS;$6.45;Ice Cream Bar - Oreo Cone
lesbycu;S;$6.49;Maintenance Removal Charge
rmurfillcv;L;$8.03;Pork - Ham, Virginia
dwholesworthcw;2XL;$4.39;Cod - Black Whole Fillet
ematoshincx;L;$8.37;Wasabi Powder
bbirtwistlecy;2XL;$7.83;Soup - Campbells
lyukhnevcz;L;$2.27;Seedlings - Buckwheat, Organic
npenderedd0;3XL;$5.94;Bag - Bread, White, Plain
bstronachd1;3XL;$7.06;Container - Foam Dixie 12 Oz
auriend2;XL;$6.76;Soup - Campbells - Chicken Noodle
tharriotd3;XS;$2.79;Wine - Marlbourough Sauv Blanc
bmartindaled4;XL;$3.52;Potatoes - Yukon Gold, 80 Ct
tklaussend5;S;$6.34;Dip - Tapenade
pserrelsd6;2XL;$8.89;Sugar - Invert
fhakonsend7;M;$4.27;Cheese - Mozzarella, Shredded
cvillaged8;L;$4.99;Carbonated Water - Cherry
abowersd9;XL;$6.17;Sauce - Marinara
wmullaneyda;M;$5.07;Grouper - Fresh
memanueledb;M;$8.37;Sambuca - Ramazzotti
kurridgedc;M;$6.92;Cabbage - Nappa
apeschetdd;S;$6.79;Veal - Brisket, Provimi,bnls
ckebbellde;3XL;$7.25;Soup - Campbells, Creamy
etomasellodf;XL;$7.23;Lettuce - California Mix
hfraniesdg;2XL;$9.54;Soup - Tomato Mush. Florentine
bchanderdh;2XL;$2.01;Garlic - Primerba, Paste
cdooherdi;3XL;$6.35;Doilies - 8, Paper
kthorntondj;L;$8.63;Milk - 2% 250 Ml
gboornedk;XL;$5.79;Beer - Maudite
dbodycotedl;L;$4.59;Soup - Verve - Chipotle Chicken
caronindm;XS;$4.31;Cookie Double Choco
okalbdn;L;$1.31;Shrimp - 150 - 250
ikhrishtafovichdo;S;$8.28;Mustard - Dry, Powder
bkarpeevdp;2XL;$6.76;Coffee Decaf Colombian
rbaigriedq;3XL;$8.51;Steamers White
odinningtondr;3XL;$4.51;Tia Maria
ylinnardds;3XL;$1.48;Syrup - Monin - Blue Curacao
mebbettsdt;L;$6.75;Syrup - Chocolate
sfilochovdu;S;$6.83;Gelatine Leaves - Envelopes
lsimandv;S;$7.93;Pasta - Rotini, Dry
bbyarddw;XS;$6.24;Butter - Pod
ndanherdx;S;$9.36;Blueberries
cbruyettdy;XS;$4.06;Tofu - Soft
cporcherdz;L;$2.25;Cakes Assorted
ncottone0;XL;$2.26;Nantucket - Pomegranate Pear
